session,group,name,orient,rot_k,orient_fallback,align,cc,A,B,C_raw,C_al,C_bug,dL,da,db,our_p05,cam_p05,our_p995,cam_p995,our_clip_lo,cam_clip_lo,our_clip_hi,cam_clip_hi,ar,dhash,err,path
厦门,101XM_02,DSC_2160.NEF,1,0,False,ok,0.9886,5.005,7.203,9.424,10.745,9.424,-2.69,-3.673,2.08,10.0,5.0,222.0,221.0,0.222,1.051,0.016,0.928,1.5,fe989cb62c6c785e,,K:\data\photo\厦门\101XM_02\DSC_2160.NEF
厦门,101XM_02,DSC_2169.NEF,1,0,False,ok,0.9856,7.01,8.72,10.501,11.722,10.501,-2.658,-4.364,4.799,14.0,7.0,219.0,216.0,0.087,0.531,0.01,0.908,1.5,f4d83e1c283c9e1c,,K:\data\photo\厦门\101XM_02\DSC_2169.NEF
厦门,101XM_02,DSC_2170.NEF,1,0,False,ok,0.9859,6.696,8.427,9.835,10.837,9.835,-1.92,-4.258,4.797,15.0,7.0,215.0,210.0,0.16,0.338,0.061,0.259,1.5,f0983e18289cb838,,K:\data\photo\厦门\101XM_02\DSC_2170.NEF
厦门,101XM_02,DSC_2172.NEF,8,-1,False,ok,0.9902,6.171,9.099,10.944,11.994,39.226,-1.501,-4.157,4.307,12.0,6.0,208.0,209.0,0.177,0.569,0.04,0.416,1.5,46e65ed6fefe0e2c,,K:\data\photo\厦门\101XM_02\DSC_2172.NEF
厦门,101XM_02,DSC_2181.NEF,1,0,False,ok,0.9853,6.709,8.777,10.375,12.216,10.375,-5.041,-4.081,1.718,9.0,6.0,211.0,211.0,0.227,0.189,0.035,1.099,1.5,f8d8989caeb4b6bc,,K:\data\photo\厦门\101XM_02\DSC_2181.NEF
厦门,101XM_02,DSC_2184.NEF,1,0,False,ok,0.9857,5.039,7.909,9.347,11.196,9.347,-2.265,-3.4,2.95,12.0,8.0,211.0,208.0,0.083,0.033,0.018,0.669,1.5,fcd8988cbcbcbe1e,,K:\data\photo\厦门\101XM_02\DSC_2184.NEF
厦门,101XM_02,DSC_2190.NEF,6,1,False,ok,0.9911,5.783,7.716,9.834,11.414,46.204,-0.612,-4.587,3.468,8.0,7.0,220.0,213.0,0.594,0.264,0.216,0.851,1.5,c88ab0a086818989,,K:\data\photo\厦门\101XM_02\DSC_2190.NEF
厦门,101XM_02,DSC_2193.NEF,6,1,False,ok,0.992,5.855,8.248,10.441,12.111,41.812,-0.147,-4.416,3.841,12.0,7.0,206.0,203.0,0.256,0.218,0.137,0.502,1.5,829281979484c1c0,,K:\data\photo\厦门\101XM_02\DSC_2193.NEF
厦门,101XM_02,DSC_2196.NEF,6,1,False,ok,0.9893,5.626,8.291,10.687,12.501,43.983,-0.072,-4.386,3.522,10.0,6.0,216.0,207.0,0.405,0.484,0.239,0.69,1.5,908089939286c0d0,,K:\data\photo\厦门\101XM_02\DSC_2196.NEF
厦门,101XM_02,DSC_2207.NEF,6,1,False,ok,0.9906,5.727,8.086,10.814,12.867,38.2,-2.393,-4.452,2.693,10.0,7.0,211.0,208.0,0.395,0.233,0.002,0.34,1.5,a2a1a12424848198,,K:\data\photo\厦门\101XM_02\DSC_2207.NEF
厦门,101XM_02,DSC_2208.NEF,6,1,False,ok,0.9913,4.975,8.416,11.109,13.24,42.473,0.89,-4.334,2.274,12.0,6.0,221.0,212.0,0.229,0.486,0.232,1.284,1.5,a1ac21213385a399,,K:\data\photo\厦门\101XM_02\DSC_2208.NEF
厦门,101XM_02,DSC_2217.NEF,6,1,False,ok,0.9871,6.115,8.486,10.847,12.676,39.997,-1.026,-4.733,3.733,11.0,7.0,219.0,211.0,0.265,0.331,0.191,0.69,1.5,9e91909288c1c5c8,,K:\data\photo\厦门\101XM_02\DSC_2217.NEF
厦门,101XM_02,DSC_2219.NEF,6,1,False,ok,0.9883,6.033,8.286,10.751,12.601,38.194,-1.02,-4.579,3.793,12.0,8.0,212.0,205.0,0.246,0.131,0.292,0.641,1.5,9b9690969088c1c5,,K:\data\photo\厦门\101XM_02\DSC_2219.NEF
厦门,101XM_02,DSC_2226.NEF,6,1,False,ok,0.989,6.005,8.273,11.29,13.3,42.541,-0.968,-5.054,3.095,12.0,8.0,235.0,223.0,0.256,0.165,0.057,2.009,1.5,949183969086c5c7,,K:\data\photo\厦门\101XM_02\DSC_2226.NEF
厦门,101XM_02,DSC_2231.NEF,6,1,False,ok,0.9875,9.099,10.814,11.432,11.752,43.81,-1.975,-4.828,7.455,11.0,7.0,199.0,206.0,0.117,0.257,0.011,0.351,1.5,e2e2e2e1c4c3e4e4,,K:\data\photo\厦门\101XM_02\DSC_2231.NEF
厦门,101XM_02,DSC_2233.NEF,6,1,False,ok,0.9788,9.905,11.907,12.68,13.171,43.59,-2.77,-5.297,7.897,11.0,6.0,193.0,201.0,0.097,0.539,0.004,0.747,1.5,e2e0e0e2c1e3e4e0,,K:\data\photo\厦门\101XM_02\DSC_2233.NEF
厦门,101XM_02,DSC_2235.NEF,6,1,False,ok,0.99,7.289,9.11,10.129,10.705,40.174,-1.366,-4.19,5.806,12.0,7.0,199.0,203.0,0.089,0.158,0.011,0.367,1.5,c2c4c1c0c2c0c4cc,,K:\data\photo\厦门\101XM_02\DSC_2235.NEF
厦门,101XM_02,DSC_2236.NEF,6,1,False,ok,0.9878,7.751,9.829,10.632,11.043,40.073,-2.664,-4.472,5.743,12.0,6.0,196.0,207.0,0.066,0.312,0.011,0.271,1.5,c6c6c3c0c4c1c4cc,,K:\data\photo\厦门\101XM_02\DSC_2236.NEF
厦门,101XM_02,DSC_2249.NEF,1,0,False,ok,0.9831,6.984,8.683,9.405,9.697,9.405,-4.072,-4.067,3.958,19.0,9.0,202.0,210.0,0.03,0.231,0.019,0.359,1.5,fefeefcb0e0d4c88,,K:\data\photo\厦门\101XM_02\DSC_2249.NEF
厦门,101XM_02,DSC_2251.NEF,1,0,False,ok,0.9822,6.981,8.653,9.328,9.59,9.328,-3.889,-3.903,4.287,19.0,9.0,191.0,204.0,0.023,0.202,0.0,0.261,1.5,feffdfdb1b9cd998,,K:\data\photo\厦门\101XM_02\DSC_2251.NEF
厦门,101XM_02,DSC_2252.NEF,1,0,False,ok,0.9827,6.901,8.741,9.411,9.672,9.411,-4.111,-3.933,3.905,17.0,8.0,215.0,223.0,0.024,0.263,0.02,0.285,1.5,fefede9b8f981c88,,K:\data\photo\厦门\101XM_02\DSC_2252.NEF
